frame,event_type,id_a,id_b,distance,speed_a_px_s,speed_b_px_s
127,near_miss,2,7,51.79,0.0,54.33
129,near_miss,3,7,59.62,0.0,217.42
130,near_miss,2,3,46.53,40.25,0.0
133,near_miss,5,7,57.08,0.0,220.1
157,near_miss,3,14,58.46,0.0,40.0
164,near_miss,1,7,59.0,0.0,87.96
180,near_miss,1,7,42.52,0.0,77.74
193,near_miss,5,18,31.62,12.0,15.0
207,near_miss,16,18,59.36,14.49,465.46
208,near_miss,1,7,58.55,0.0,33.94
211,near_miss,8,22,59.14,0.0,874.64
212,near_miss,3,18,59.54,0.0,152.97
218,near_miss,18,26,52.04,213.7,
220,near_miss,18,25,57.43,206.2,0.0
224,near_miss,1,7,50.33,0.0,26.49
258,near_miss,1,7,48.37,0.0,6.0
280,near_miss,1,7,47.51,0.0,6.0
378,collision,7,35,26.08,648.41,
380,near_miss,4,7,59.64,0.0,798.68
383,near_miss,4,6,58.46,140.1,0.0
385,collision,7,37,18.25,415.98,
388,near_miss,6,37,55.76,0.0,198.62
473,near_miss,37,39,52.77,54.73,
489,near_miss,37,39,42.72,43.46,0.0
504,near_miss,37,39,43.28,34.97,0.0
527,near_miss,37,39,48.02,20.49,0.0
546,near_miss,37,39,50.99,12.0,0.0
714,near_miss,1,37,38.47,0.0,359.89
717,near_miss,5,37,50.22,0.0,767.86
721,collision,37,42,21.95,479.07,
729,near_miss,3,37,57.2,0.0,262.37
770,near_miss,1,37,59.06,0.0,139.22
859,collision,37,45,23.26,39.9,
945,near_miss,37,47,32.57,6.0,0.0
1063,near_miss,6,37,51.62,0.0,321.78
1071,collision,6,48,27.73,160.01,
1071,collision,37,48,24.41,190.68,
1086,near_miss,37,48,49.98,96.97,0.0
1101,collision,37,48,16.28,78.97,0.0
1323,near_miss,37,54,57.14,83.58,0.0
1333,near_miss,1,37,56.08,0.0,272.21
1408,collision,37,56,1.0,24.0,
1464,collision,60,61,17.69,89.2,
1466,near_miss,60,62,39.12,97.68,0.0
1472,near_miss,63,64,33.84,268.33,
1475,near_miss,61,63,48.0,166.71,158.59
1481,near_miss,61,64,59.14,83.52,0.0
1621,collision,37,67,27.89,212.27,
1636,near_miss,37,67,44.01,102.97,0.0
1700,near_miss,37,65,59.54,48.39,0.0
1715,near_miss,37,65,45.35,34.97,0.0
1730,near_miss,37,65,37.0,26.49,0.0
1748,near_miss,37,65,31.62,6.0,0.0
1914,near_miss,8,37,58.52,0.0,362.24
1914,collision,65,70,29.15,0.0,
1924,collision,37,71,25.63,140.67,
1939,near_miss,37,71,55.0,70.25,0.0
1954,collision,37,71,20.22,66.97,0.0
2178,near_miss,37,76,47.38,549.38,
2180,collision,37,77,27.66,347.93,
2513,near_miss,3,77,52.33,0.0,389.54
