frame,event_type,track_id,direction,speed_px_s
354,line_crossing,8,northbound,108.36
374,line_crossing,1,northbound,187.0
385,line_crossing,4,northbound,152.65
398,line_crossing,6,northbound,170.66
416,line_crossing,9,northbound,216.71
427,line_crossing,11,northbound,179.99
456,line_crossing,13,northbound,102.87
460,line_crossing,15,northbound,281.17
476,line_crossing,22,northbound,192.17
536,line_crossing,18,northbound,196.94
553,line_crossing,19,northbound,158.32
601,line_crossing,27,northbound,122.05
609,line_crossing,29,northbound,243.71
620,line_crossing,16,northbound,230.64
625,line_crossing,24,northbound,150.65
649,line_crossing,21,northbound,130.18
667,line_crossing,30,northbound,111.15
694,line_crossing,28,northbound,223.5
721,line_crossing,20,northbound,157.09
726,line_crossing,44,northbound,188.97
735,line_crossing,35,northbound,187.94
737,line_crossing,14,northbound,117.19
752,line_crossing,45,northbound,231.97
757,line_crossing,38,northbound,126.8
776,line_crossing,40,northbound,222.98
782,line_crossing,48,northbound,238.12
783,line_crossing,31,northbound,197.59
800,line_crossing,43,northbound,209.76
809,line_crossing,47,northbound,192.65
839,line_crossing,52,northbound,191.81
854,line_crossing,55,northbound,196.11
864,line_crossing,37,northbound,192.65
883,line_crossing,59,northbound,103.17
889,line_crossing,50,northbound,195.7
890,line_crossing,56,northbound,202.04
924,line_crossing,54,northbound,182.12
935,line_crossing,60,northbound,208.31
950,line_crossing,57,northbound,343.98
968,line_crossing,39,northbound,186.51
1004,line_crossing,49,northbound,229.81
1034,line_crossing,62,northbound,150.89
1045,line_crossing,71,northbound,156.4
1051,line_crossing,42,northbound,118.57
1059,line_crossing,65,northbound,183.08
1088,line_crossing,70,northbound,238.73
1106,line_crossing,64,northbound,265.99
1117,line_crossing,75,northbound,183.94
1119,line_crossing,63,northbound,128.66
1156,line_crossing,76,northbound,196.96
1168,line_crossing,72,northbound,76.34
1187,line_crossing,81,northbound,200.66
1189,line_crossing,74,northbound,117.47
1195,line_crossing,68,northbound,238.24
1230,line_crossing,79,northbound,166.06
1258,line_crossing,94,northbound,170.62
1261,line_crossing,86,northbound,218.18
1270,line_crossing,80,northbound,94.63
1297,line_crossing,91,northbound,296.55
1308,line_crossing,93,northbound,73.71
1333,line_crossing,90,northbound,259.68
1359,line_crossing,100,northbound,228.19
1362,line_crossing,105,northbound,63.08
1368,line_crossing,89,northbound,188.61
1390,line_crossing,105,southbound,314.44
1391,line_crossing,98,northbound,115.07
1397,line_crossing,101,northbound,117.35
1421,line_crossing,96,northbound,123.38
1427,line_crossing,88,northbound,113.69
1488,line_crossing,83,northbound,283.55
1489,line_crossing,84,northbound,167.87
1491,line_crossing,103,northbound,219.92
1511,line_crossing,105,northbound,97.71
1530,line_crossing,104,northbound,235.5
1541,line_crossing,114,northbound,218.26
1579,line_crossing,108,northbound,328.05
1587,line_crossing,113,northbound,169.4
1611,line_crossing,111,northbound,140.92
1635,line_crossing,109,northbound,91.19
1638,line_crossing,107,northbound,237.33
1677,line_crossing,118,northbound,167.6
1680,line_crossing,117,northbound,151.84
1704,line_crossing,116,northbound,186.81
1715,line_crossing,120,northbound,108.47
1752,line_crossing,121,northbound,241.41
1774,line_crossing,127,northbound,126.83
1811,line_crossing,132,northbound,97.33
1861,line_crossing,134,northbound,223.86
1889,line_crossing,125,northbound,186.59
1930,line_crossing,140,northbound,157.29
1934,line_crossing,124,northbound,143.67
1936,line_crossing,130,northbound,112.27
1936,line_crossing,142,northbound,113.75
1956,line_crossing,129,northbound,137.61
1985,line_crossing,135,northbound,196.56
1990,line_crossing,136,northbound,119.36
1991,line_crossing,135,southbound,394.36
2009,line_crossing,141,northbound,91.46
2035,line_crossing,135,northbound,179.61
2058,line_crossing,146,northbound,182.08
2092,line_crossing,152,northbound,115.48
2105,line_crossing,147,northbound,143.49
2105,line_crossing,152,southbound,613.48
2112,line_crossing,148,northbound,133.48
2116,line_crossing,152,northbound,52.29
